[ 2026-05-01 12:13:58,259 ] 20 root - INFO - Initiate the data ingestion
[ 2026-05-01 12:14:01,319 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-05-01 12:14:01,319 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-01 12:14:01,319 ] 74 root - INFO - Exporting train and test file path.
[ 2026-05-01 12:14:01,384 ] 83 root - INFO - Exported train and test file path.
[ 2026-05-01 12:14:01,384 ] 22 root - INFO - Data Initiation Completed
[ 2026-05-01 12:14:01,390 ] 26 root - INFO - Initiate the data Validation
[ 2026-05-01 12:14:01,405 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-05-01 12:14:01,405 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-01 12:14:01,405 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-05-01 12:14:01,405 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-01 12:14:01,679 ] 28 root - INFO - data Validation Completed
[ 2026-05-01 12:14:01,679 ] 31 root - INFO - data Transformation started
[ 2026-05-01 12:14:01,679 ] 46 root - INFO - Entered initiate_data_transformation method of datatransformation class 
[ 2026-05-01 12:14:01,679 ] 49 root - INFO - starting data transformation 
[ 2026-05-01 12:14:01,695 ] 35 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-05-01 12:14:01,695 ] 38 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-01 12:14:01,702 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-01 12:14:01,705 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-01 12:14:01,705 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-01 12:14:01,708 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-01 12:14:01,708 ] 35 root - INFO - data Transformation completed
[ 2026-05-01 12:14:01,708 ] 37 root - INFO - Model Training started
[ 2026-05-01 12:14:02,621 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-01 12:14:02,628 ] 107 dagshub - INFO - Accessing as vinaysinghal7976
[ 2026-05-01 12:14:03,417 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/vinaysinghal7976/Network-Security "HTTP/1.1 200 OK"
[ 2026-05-01 12:14:04,179 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-01 12:14:04,180 ] 107 dagshub - INFO - Initialized MLflow to track repo "vinaysinghal7976/Network-Security"
[ 2026-05-01 12:14:04,181 ] 107 dagshub - INFO - Repository vinaysinghal7976/Network-Security initialized!
